Belgie;;;
Ittre;Arr.Nivelles;6001;34.92
Izegem;Arr.Roeselare;26566;25.48
Jabbeke;Arr.Brugge;13643;53.76
Jalhay;Arr.Verviers;7899;107.75
Jemeppe-Sur-Sambre;Arr.Namur;17966;46.80
Jette;Gew.Brussel;42644;5.04
Jodoigne;Arr.Nivelles;12303;73.31
Juprelle;Arr.Liege;8360;35.36
Jurbise;Arr.Mons;9482;57.86
Kalmthout;Arr.Antwerpen;17461;59.45
Kampenhout;Arr.Halle-Vilvoorde;10921;33.49
Kapellen;Arr.Antwerpen;25957;37.11
Kapelle-Op-Den-Bos;Arr.Halle-Vilvoorde;8886;15.25
Kaprijke;Arr.Eeklo;6090;33.71
Kasterlee;Arr.Turnhout;17925;71.52
Keerbergen;Arr.Leuven;12451;18.39
Kinrooi;Arr.Maaseik;12014;54.76
Kluisbergen;Arr.Oudenaarde;6119;30.38
Knesselare;Arr.Gent;7881;37.27
Knokke-Heist;Arr.Brugge;33839;56.44
Koekelare;Arr.Diksmuide;8258;39.19
Koekelberg;Gew.Brussel;17899;1.17
Koksijde;Arr.Veurne;20972;43.96
Kontich;Arr.Antwerpen;20220;23.67
Kortemark;Arr.Diksmuide;12053;55.00
Kortenaken;Arr.Leuven;7502;49.06
Kortenberg;Arr.Leuven;18214;34.52
Kortessem;Arr.Tongeren;8072;33.90
Kortrijk;Arr.Kortrijk;73631;80.02
Kraainem;Arr.Halle-Vilvoorde;12976;5.80
Kruibeke;Arr.Sint-Niklaas;15106;33.42
Kruishoutem;Arr.Oudenaarde;8107;46.76
Kuurne;Arr.Kortrijk;12588;10.01
La Bruyere;Arr.Namur;8220;52.98
La Calamine;Arr.Verviers;10331;18.12
La Louviere;Arr.Soignies;77013;64.24
La Roche-En-Ardenne;Arr.Marche-en-Famenne;4250;147.52
Laakdal;Arr.Turnhout;14893;42.48
Laarne;Arr.Dendermonde;11651;32.07
Lanaken;Arr.Tongeren;24522;59.00
Landen;Arr.Leuven;14602;54.05
Langemark-Poelkapelle;Arr.Ieper;7759;52.53
Lasne;Arr.Nivelles;13959;47.22
Le Roeulx;Arr.Soignies;7976;42.80
Lebbeke;Arr.Dendermonde;17523;26.92
Lede;Arr.Aalst;16956;29.69
Ledegem;Arr.Roeselare;9269;24.76
Leglise;Arr.Neufchateau;4035;172.92
Lendelede;Arr.Kortrijk;5424;13.15
Lennik;Arr.Halle-Vilvoorde;8726;30.80
Lens;Arr.Mons;3897;49.42
Leopoldsburg;Arr.Hasselt;14309;22.49
Les Bons Villers;Arr.Charleroi;8855;42.55
Lessines;Arr.Soignies;17752;72.29
Leuven;Arr.Leuven;90143;56.63
Leuze-En-Hainaut;Arr.Tournai;13178;73.53
Libin;Arr.Neufchateau;4584;139.72
Libramont-Chevigny;Arr.Neufchateau;9775;177.86
Lichtervelde;Arr.Roeselare;8386;25.93
Liedekerke;Arr.Halle-Vilvoorde;11928;10.08
Liege;Arr.Liege;186196;69.39
Lier;Arr.Mechelen;33141;49.70
Lierde;Arr.Oudenaarde;6411;26.13
Lierneux;Arr.Verviers;3363;92.08
Lille;Arr.Turnhout;15382;59.40
Limbourg;Arr.Verviers;5616;24.63
Lincent;Arr.Waremme;3007;14.75
Linkebeek;Arr.Halle-Vilvoorde;4751;4.15
Lint;Arr.Antwerpen;7990;5.57
Linter;Arr.Leuven;7012;36.38
Lobbes;Arr.Thuin;5509;32.08
Lochristi;Arr.Gent;20017;60.34
Lokeren;Arr.Sint-Niklaas;37646;67.50
Lommel;Arr.Maaseik;31726;102.37
Londerzeel;Arr.Halle-Vilvoorde;17452;36.29
Lontzen;Arr.Verviers;5065;28.73
Lo-Reninge;Arr.Diksmuide;3312;62.94
Lovendegem;Arr.Gent;9314;19.48
Lubbeek;Arr.Leuven;13591;46.13
Lummen;Arr.Hasselt;13675;53.38
Maarkedal;Arr.Oudenaarde;6445;45.63
Maaseik;Arr.Maaseik;23608;76.91
Maasmechelen;Arr.Tongeren;36226;76.28
Machelen;Arr.Halle-Vilvoorde;12463;11.59
Maldegem;Arr.Eeklo;22229;94.64
Malle;Arr.Antwerpen;14155;51.99
Malmedy;Arr.Verviers;11729;99.96
Manage;Arr.Charleroi;22315;19.60
Manhay;Arr.Marche-en-Famenne;3157;119.81
Marche-En-Famenne;Arr.Marche-en-Famenne;16886;121.40
Marchin;Arr.Huy;5105;30.00
Martelange;Arr.Arlon;1522;29.67
Mechelen;Arr.Mechelen;77992;65.19
Meerhout;Arr.Turnhout;9345;36.29
Meeuwen-Gruitrode;Arr.Maaseik;12525;91.26
Meise;Arr.Halle-Vilvoorde;18482;34.82
Meix-Devant-Virton;Arr.Virton;2685;54.20
Melle;Arr.Gent;10477;15.21
Menen;Arr.Kortrijk;32345;33.07
Merbes-Le-Chateau;Arr.Thuin;4083;30.24
Merchtem;Arr.Halle-Vilvoorde;14728;36.72
Merelbeke;Arr.Gent;22370;36.65
Merksplas;Arr.Turnhout;8121;44.56
Mesen;Arr.Ieper;971;3.58
Messancy;Arr.Arlon;7276;52.43
